train/loss,l1,l2,epoch,step
0.0,0.0028299817349761724,-0.002992921508848667,0,0
4545.0087890625,0.0035687109921127558,-0.003982137888669968,1,1
4229.318359375,0.004155333153903484,-0.004963730461895466,2,2
3954.87890625,0.004604666493833065,-0.005937026347965002,3,3
3716.43017578125,0.004953746683895588,-0.006904096808284521,4,4
3507.692138671875,0.0052458359859883785,-0.007870263420045376,5,5
3322.76416015625,0.005519721657037735,-0.008842895738780499,6,6
3156.974853515625,0.005803494248539209,-0.009828693233430386,7,7
3007.13818359375,0.006111791357398033,-0.010831348598003387,8,8
2871.4033203125,0.006446588784456253,-0.011851412244141102,9,9
2748.88818359375,0.006800762843340635,-0.01288721151649952,10,10
2639.245849609375,0.007163184229284525,-0.01393286045640707,11,11
2542.26513671875,0.007524633314460516,-0.014967020601034164,12,12
2457.541748046875,0.007883877493441105,-0.01591881737112999,13,13
2384.2177734375,0.00825250893831253,-0.016611680388450623,14,14
2320.8232421875,0.008656534366309643,-0.016854403540492058,15,15
2265.27294921875,0.00913175567984581,-0.016677845269441605,16,16
2215.0693359375,0.009710490703582764,-0.016216963529586792,17,17
2167.6474609375,0.010406400077044964,-0.015568641014397144,18,18
2120.744384765625,0.011212116107344627,-0.014789137057960033,19,19
2072.684326171875,0.012110279873013496,-0.013913789764046669,20,20
2022.5184326171875,0.013083797879517078,-0.012970061041414738,21,21
1970.0113525390625,0.014119157567620277,-0.011985509656369686,22,22
1915.5040283203125,0.01520587969571352,-0.01099289022386074,23,23
1859.714111328125,0.01633528061211109,-0.010032308287918568,24,24
1803.5230712890625,0.017499595880508423,-0.009148912504315376,25,25
1747.7945556640625,0.018691543489694595,-0.008385534398257732,26,26
1693.2431640625,0.01990417204797268,-0.007773415185511112,27,27
1640.35791015625,0.021130798384547234,-0.007326612249016762,28,28
